target_horizon_days,model_name,feature_count,selection_rows,evaluation_rows,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,nonzero_count,alpha,l1_ratio
3,ridge,40,180,178,0.0001900815178756004,0.01129545417839216,0.5084986278408153,0.7388888888888889,0.00056640098743255,0.018885441377555767,0.11294280341048542,0.5,38,6.723357536499335,
8,ols,40,175,173,0.00029687998845506547,0.013318623537425507,0.7057370687219983,0.8228571428571428,0.0017123648154157936,0.03284778282658841,0.10980255353909928,0.5375722543352601,38,,
116,ols,40,67,65,0.00014642096738796774,0.00892697945066891,0.9083183368466619,1.0,0.014371676189403437,0.1084563782260308,0.09151367661543211,1.0,34,,
17,elastic_net,40,166,164,0.0004629338596294426,0.017812454203830676,0.6981502093866294,0.8433734939759037,0.0036445137899577995,0.04599586977423592,0.0874955344350427,0.5609756097560976,24,0.000221221629107045,0.5
16,elastic_net,40,167,165,0.0004506408810164918,0.017212163517827075,0.7066613055429931,0.8023952095808383,0.0035271516630214325,0.046417879434565566,0.0832052302750353,0.5212121212121212,23,0.00014873521072935117,0.9
9,ols,40,174,172,0.00032492909252608814,0.013917211610496432,0.7075414966605489,0.8160919540229885,0.0020172158121853196,0.03553637221106226,0.07915505028223357,0.4941860465116279,38,,
7,ols,40,176,174,0.00025053462993680146,0.012395255681074137,0.718343713476499,0.8125,0.0016891355756328064,0.03298715674302335,0.07909329123045654,0.5172413793103449,38,,
5,ols,40,178,176,0.0002337791652308841,0.012109935373333467,0.6565954344459267,0.7865168539325843,0.0018782734104943737,0.032818499577062475,0.07288529887892063,0.5454545454545454,38,,
15,lasso,40,168,166,0.0004569946196744072,0.017014100814501287,0.6912718073532067,0.8154761904761905,0.0031275409610792594,0.044042560462297,0.06910610319012461,0.5602409638554217,12,0.0004893900918477494,
6,ridge,40,177,175,0.0002555542102305506,0.012992986127508373,0.667562839850831,0.807909604519774,0.001250933660330206,0.028496040584512,0.06900274575452783,0.5028571428571429,38,2.043359717856944,
10,ols,40,173,171,0.0003456135900134081,0.014641425329129322,0.710580844075999,0.7861271676300579,0.0023233595635675694,0.037670437720637794,0.06759459760891359,0.5263157894736842,38,,
12,ols,40,171,169,0.00036963219269223435,0.015087899510959102,0.7237539988144955,0.7953216374269005,0.0028509223287136493,0.041508198635736224,0.06223304454543495,0.5502958579881657,38,,
14,elastic_net,40,169,167,0.000442403313611712,0.01696606343785369,0.6986159803158203,0.8224852071005917,0.002872427739615533,0.0418595634636052,0.05707034197631404,0.562874251497006,22,0.005298316906283713,0.1
13,ols,40,170,168,0.0003670492599456021,0.015057901063363712,0.7444005329636896,0.8588235294117647,0.003309447928099435,0.04453911173982675,0.05046218261777285,0.5119047619047619,38,,
11,ols,40,172,170,0.00036711100966234833,0.014902527183158473,0.7100833167131141,0.7558139534883721,0.002563482262311566,0.03933184526644114,0.04996483870382171,0.5411764705882353,38,,
127,lasso,40,56,54,0.00020156042561461076,0.011293149425207007,0.8939371246717749,1.0,0.01736494170881111,0.12057211710289542,0.04912817411887308,1.0,13,0.0001,
128,elastic_net,40,55,53,0.00019140946383115618,0.011596946215578286,0.8882142509412279,1.0,0.01730520206475537,0.12021264155374198,-0.00622575596191994,1.0,15,0.0001,0.9
129,ols,40,54,52,0.00014212589585019958,0.0099958980353364,0.9084872095620322,1.0,0.01861254561890246,0.1250916175327743,-0.06673632068289256,1.0,30,,
130,ols,40,53,51,0.00012780266319005614,0.009083047896952643,0.910732423729221,1.0,0.01787376900450635,0.11989698506664166,-0.08602403645100984,1.0,30,,
