Date,combined_score,adaptive_band_rank01_score,ma_crossover_rank01_score,adaptive_volatility_band_rank01_score,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_hold_days,prediction_scale,price
2020-09-09,-1.0,-1.0,-0.016025391688571016,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,183.05
2020-09-10,-1.0,-1.0,-0.09630793645854906,-0.4873528821680198,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,182.46
2020-09-11,-1.0,-1.0,-0.044964448524262006,-0.9864845398681613,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,182.45
2020-09-14,-0.8773321710884233,-0.8773321710884233,-0.08152723538654608,-1.0,0,-0.8773321710884233,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,183.89
2020-09-15,-1.0,-1.0,-0.07701523190142172,-0.4031088791731852,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,183.45
2020-09-16,-0.8740592142172773,-0.8740592142172773,-0.04512003485134959,-0.604329676616339,0,-0.8740592142172773,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,183.97
2020-09-17,-1.0,-1.0,-0.04574238015962919,-0.41813015928951297,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,182.96
2020-09-18,-0.9515829459941474,-0.9515829459941474,0.023026776406884494,-0.6714822359796774,0,-0.9515829459941474,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,183.2
2020-09-21,-1.0,-1.0,-0.0038896581768359077,0.4513681681401314,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,179.52
2020-09-22,-1.0,-1.0,-0.04947645200938635,-0.6915781726419966,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.65
2020-09-23,-1.0,-1.0,-0.20646305602662862,-0.06519365003325073,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,174.79
2020-09-24,-1.0,-1.0,-0.301681888195653,-0.62658909108506,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,175.44
2020-09-25,-1.0,-1.0,-0.43735316540383273,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,174.94
2020-09-28,-1.0,-1.0,-0.5414404182160536,-0.9871438475264261,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,176.7
2020-09-29,-1.0,-1.0,-0.6018079131205893,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.19
2020-09-30,-1.0,-1.0,-0.6915812238420523,-0.41055872685315414,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,177.12
2020-10-01,-1.0,-1.0,-0.7631509342958949,-0.9524025120303926,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.7
2020-10-02,-1.0,-1.0,-0.8677049460893431,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.54
2020-10-05,-1.0,-1.0,-0.8364320943475506,-0.9966727888490876,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,179.41
2020-10-06,-1.0,-1.0,-0.816361458155065,0.38886981764879813,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,177.3
2020-10-07,-1.0,-1.0,-0.6500396745134077,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,177.22
2020-10-08,-1.0,-1.0,-0.5033217680830263,-0.5660716512883208,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,177.85
2020-10-09,-0.7870696093762523,-0.7870696093762523,-0.2909464316275912,-0.9345158229160448,0,-0.7870696093762523,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,181.08
2020-10-12,-0.9025947366679261,-0.9025947366679261,-0.1190235402112849,-1.0,0,-0.9025947366679261,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,180.56
2020-10-13,-1.0,-1.0,-0.044497689543034624,-0.2459331887571852,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,177.72
2020-10-14,-1.0,-1.0,0.0799713721158294,-0.5824073776997346,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.27
2020-10-15,-1.0,-1.0,0.14967404664478015,-0.11743334525946078,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.92
2020-10-16,-1.0,-1.0,0.21844320321130267,-0.7038339111865816,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.3
2020-10-19,-1.0,-1.0,0.20428484744760583,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.39
2020-10-20,-0.6068290260722947,-0.6068290260722947,0.255628335381884,0.03351484462578537,0,-0.6068290260722947,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,179.25
2020-10-21,0.034003271595984874,0.034003271595984874,0.27040903645387815,-1.0,0,0.034003271595984874,1.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,180.6
2020-10-22,-0.8757218715294124,-0.8757218715294124,0.248160191682352,-0.4637855491898139,0,-0.8757218715294124,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.83
2020-10-23,-1.0,-1.0,0.11466712305323046,-0.23795033641622695,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.64
2020-10-26,-1.0,-1.0,0.023337949061041977,-1.0,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,178.55
2020-10-27,-0.9300964510283511,-0.9300964510283511,0.05087672895305966,-1.0,0,-0.9300964510283511,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,179.02
2020-10-28,-1.0,-1.0,-0.0003111726541486414,-0.1018805758463448,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,176.13
2020-10-29,-1.0,-1.0,-0.05850045897966158,-0.33757840902687636,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,175.4
2020-10-30,-1.0,-1.0,-0.08743951581535257,-0.11307278294358046,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,176.2
2020-11-02,-1.0,-1.0,0.019284462047916968,-1.0,0,-1.0,0.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,177.91
2020-11-03,-0.7877876787200291,-0.7877876787200291,0.01110317511850201,-0.6021947400351307,0,-0.7877876787200291,0.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,178.92
2020-11-04,-0.67008819979552,-0.67008819979552,-0.0497370300629843,0.14207444202553807,0,-0.67008819979552,0.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,178.82
2020-11-05,0.5007877904497655,0.5007877904497655,-0.018505291864164483,0.4105126333936744,0,0.5007877904497655,1.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,182.93
2020-11-06,0.10491508681836602,0.10491508681836602,0.01655736640478603,-0.44604534914637867,0,0.10491508681836602,0.2448360777827,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,183.19
2020-11-09,-1.0,-1.0,-0.040516849555228995,0.36489135402475015,0,-1.0,0.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,175.08
2020-11-10,-1.0,-1.0,-0.08953964028309808,-0.7840502007356444,0,-1.0,0.0,2020-10-30,obj1_long_only_combination,130,0.42851154849605777,175.66
