Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-06-16,-0.5903063475660167,-0.5903063475660167,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,181.63
2023-06-20,-0.9773448136342263,-0.9773448136342263,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,179.75
2023-06-21,0.3169775865881549,0.3169775865881549,0.31957818125585263,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,179.49
2023-06-22,-0.14898905262672626,-0.14898905262672626,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,177.71
2023-06-23,0.6652800463164357,0.6652800463164357,0.6707382358357601,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,178.2
2023-06-26,-0.9126620313500405,-0.9126620313500405,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,178.51
2023-06-27,0.3928172505573743,0.3928172505573743,0.3960400602776922,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,177.69
2023-06-28,-0.5434127161446416,-0.5434127161446416,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,177.28
2023-06-29,0.38475495548031285,0.38475495548031285,0.3879116193200576,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,177.09
2023-06-30,-0.22334662526584242,-0.22334662526584242,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,178.27
2023-07-03,-0.7881123337926524,-0.7881123337926524,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,178.47
2023-07-05,0.35092366294533317,0.35092366294533317,0.36511982924768405,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,177.84
2023-07-06,-0.4431216143149497,-0.4431216143149497,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,177.31
2023-07-07,0.06179781540043766,0.06179781540043766,0.06429776669236083,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,178.64
2023-07-10,-0.9426683273984479,-0.9426683273984479,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,178.78
2023-07-11,-0.845509228170643,-0.845509228170643,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,179.45
2023-07-12,-0.263738916086741,-0.263738916086741,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,181.88
2023-07-13,-0.46790485812087124,-0.46790485812087124,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,182.01
2023-07-14,0.8987220106164391,0.8987220106164391,0.9350786558629058,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,181.43
2023-07-17,0.40129086255009133,0.40129086255009133,0.41752456925587816,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,181.56
2023-07-18,0.9947176223537019,0.9947176223537019,1.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,183.64
2023-07-19,-0.340792596285431,-0.340792596285431,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,183.67
2023-07-20,-0.024940188034132428,-0.024940188034132428,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,182.74
