Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2022-05-20,0.9481821235911017,0.9481821235911017,0.9481821235911017,2022-04-29,adaptive_band,45,1.0,172.03
2022-05-23,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,172.83
2022-05-24,0.2958026030466632,0.2958026030466632,0.2958026030466632,2022-04-29,adaptive_band,45,1.0,174.13
2022-05-25,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,173.08
2022-05-26,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,172.76
2022-05-27,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,172.85
2022-05-31,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,171.14
2022-06-01,0.39254810383466054,0.39254810383466054,0.39254810383466054,2022-05-31,adaptive_band,45,1.0,172.23
2022-06-02,-0.19089383662989165,-0.19089383662989165,0.0,2022-05-31,adaptive_band,45,1.0,174.35
2022-06-03,0.282991026001738,0.282991026001738,0.282991026001738,2022-05-31,adaptive_band,45,1.0,172.58
2022-06-06,0.4561586890629215,0.4561586890629215,0.4561586890629215,2022-05-31,adaptive_band,45,1.0,171.82
2022-06-07,0.059767500449152904,0.059767500449152904,0.059767500449152904,2022-05-31,adaptive_band,45,1.0,172.94
2022-06-08,0.04225760696424039,0.04225760696424039,0.04225760696424039,2022-05-31,adaptive_band,45,1.0,172.78
2022-06-09,0.23253333826842143,0.23253333826842143,0.23253333826842143,2022-05-31,adaptive_band,45,1.0,172.23
2022-06-10,-0.5153842633354958,-0.5153842633354958,0.0,2022-05-31,adaptive_band,45,1.0,174.54
2022-06-13,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,169.93
2022-06-14,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,168.57
2022-06-15,0.746110370412591,0.746110370412591,0.746110370412591,2022-05-31,adaptive_band,45,1.0,170.77
2022-06-16,0.12790705823882828,0.12790705823882828,0.12790705823882828,2022-05-31,adaptive_band,45,1.0,172.69
2022-06-17,0.6684184934664352,0.6684184934664352,0.6684184934664352,2022-05-31,adaptive_band,45,1.0,171.27
2022-06-21,0.9589269071570287,0.9589269071570287,0.9589269071570287,2022-05-31,adaptive_band,45,1.0,170.63
2022-06-22,0.679880779748516,0.679880779748516,0.679880779748516,2022-05-31,adaptive_band,45,1.0,171.31
2022-06-23,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,170.26
2022-06-24,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,170.09
2022-06-27,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,169.9
2022-06-28,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,169.62
2022-06-29,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,169.49
2022-06-30,1.0,1.0,1.0,2022-05-31,adaptive_band,45,1.0,168.46
2022-07-01,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,168.32
2022-07-05,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,164.75
2022-07-06,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,162.14
2022-07-07,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,162.23
2022-07-08,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,162.3
2022-07-11,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,161.43
2022-07-12,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,160.83
2022-07-13,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,161.6
2022-07-14,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,159.33
2022-07-15,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,159.01
2022-07-18,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,159.16
2022-07-19,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,159.54
2022-07-20,1.0,1.0,1.0,2022-06-30,adaptive_band,45,1.0,158.04
2022-07-21,0.8416561917228218,0.8416561917228218,0.8416561917228218,2022-06-30,adaptive_band,45,1.0,160.27
2022-07-22,0.7544148503136422,0.7544148503136422,0.7544148503136422,2022-06-30,adaptive_band,45,1.0,160.67
2022-07-25,0.7678035089578833,0.7678035089578833,0.7678035089578833,2022-06-30,adaptive_band,45,1.0,160.23
2022-07-26,0.7524247142162924,0.7524247142162924,0.7524247142162924,2022-06-30,adaptive_band,45,1.0,160.04
2022-07-27,0.4960232714636036,0.4960232714636036,0.4960232714636036,2022-06-30,adaptive_band,45,1.0,161.67
2022-07-28,0.157030352136738,0.157030352136738,0.157030352136738,2022-06-30,adaptive_band,45,1.0,163.64
2022-07-29,0.01115107620907037,0.01115107620907037,0.01115107620907037,2022-06-30,adaptive_band,45,1.0,164.1
2022-08-01,-0.25722683013735714,-0.25722683013735714,0.0,2022-07-29,adaptive_band,45,1.0,165.03
2022-08-02,-0.16879580908546776,-0.16879580908546776,0.0,2022-07-29,adaptive_band,45,1.0,164.05
2022-08-03,-0.4200511155533373,-0.4200511155533373,0.0,2022-07-29,adaptive_band,45,1.0,164.45
2022-08-04,-0.9720805686734293,-0.9720805686734293,0.0,2022-07-29,adaptive_band,45,1.0,167.17
2022-08-05,-0.44133456363771223,-0.44133456363771223,0.0,2022-07-29,adaptive_band,45,1.0,165.29
2022-08-08,-0.6286718840598311,-0.6286718840598311,0.0,2022-07-29,adaptive_band,45,1.0,166.69
2022-08-09,-0.6080716260884999,-0.6080716260884999,0.0,2022-07-29,adaptive_band,45,1.0,167.2
2022-08-10,-0.4379073883034198,-0.4379073883034198,0.0,2022-07-29,adaptive_band,45,1.0,166.78
2022-08-11,-0.29298987293920203,-0.29298987293920203,0.0,2022-07-29,adaptive_band,45,1.0,166.34
