Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-06-10,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,177.74
2021-06-11,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,175.74
2021-06-14,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,174.71
2021-06-15,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,174.05
2021-06-16,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,171.11
2021-06-17,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,165.85
2021-06-18,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,164.93
2021-06-21,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.95
2021-06-22,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.25
2021-06-23,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.14
2021-06-24,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.04
2021-06-25,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.59
2021-06-28,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,166.58
2021-06-29,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,164.83
2021-06-30,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,165.63
2021-07-01,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,166.2
2021-07-02,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,167.29
2021-07-06,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.12
2021-07-07,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.76
2021-07-08,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.65
2021-07-09,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.21
2021-07-12,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.0
2021-07-13,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.22
2021-07-14,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,171.04
2021-07-15,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,171.07
2021-07-16,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.41
2021-07-19,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.61
2021-07-20,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.39
2021-07-21,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.76
2021-07-22,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.09
2021-07-23,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.56
2021-07-26,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.16
2021-07-27,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,168.44
2021-07-28,1,1,1.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.29
2021-07-29,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,171.17
2021-07-30,0,0,0.0,2021-06-30,fear_greed_candle_volume,45,1.0,169.82
2021-08-02,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,169.61
2021-08-03,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,169.49
2021-08-04,-1,-1,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,169.53
2021-08-05,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,168.86
2021-08-06,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,164.64
2021-08-09,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,161.72
2021-08-10,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,161.77
2021-08-11,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,164.0
2021-08-12,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,164.04
2021-08-13,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,166.39
2021-08-16,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,167.22
2021-08-17,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,166.97
2021-08-18,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,167.1
2021-08-19,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,166.61
2021-08-20,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,166.7
