Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-03-31,0.4677011494252668,0.4677011494252668,1.0,2023-02-28,ma_crossover,45,0.44265325670496325,183.22
2023-04-03,0.11256117455139185,0.11256117455139185,0.17076566125290768,2023-03-31,ma_crossover,45,0.6591557911908664,184.54
2023-04-04,0.17251223491027953,0.17251223491027953,0.261716937354991,2023-03-31,ma_crossover,45,0.6591557911908664,187.98
2023-04-05,0.4257748776509054,0.4257748776509054,0.6459396751740245,2023-03-31,ma_crossover,45,0.6591557911908664,187.83
2023-04-06,0.5836052202283947,0.5836052202283947,0.8853828306264624,2023-03-31,ma_crossover,45,0.6591557911908664,186.49
2023-04-10,0.6782218597063724,0.6782218597063724,1.0,2023-03-31,ma_crossover,45,0.6591557911908664,185.11
2023-04-11,0.6435562805872708,0.6435562805872708,0.9763341067285282,2023-03-31,ma_crossover,45,0.6591557911908664,186.28
2023-04-12,0.42618270799348484,0.42618270799348484,0.6465583913379873,2023-03-31,ma_crossover,45,0.6591557911908664,187.19
2023-04-13,0.28711256117455697,0.28711256117455697,0.43557617942769483,2023-03-31,ma_crossover,45,0.6591557911908664,189.72
2023-04-14,0.18760195758563764,0.18760195758563764,0.28460943542148937,2023-03-31,ma_crossover,45,0.6591557911908664,186.36
2023-04-17,0.12765089722674994,0.12765089722674994,0.19365815931940603,2023-03-31,ma_crossover,45,0.6591557911908664,185.53
2023-04-18,0.05546492659053705,0.05546492659053705,0.08414539829852836,2023-03-31,ma_crossover,45,0.6591557911908664,186.25
2023-04-19,0.013050570962484078,0.013050570962484078,0.019798917246719797,2023-03-31,ma_crossover,45,0.6591557911908664,185.36
2023-04-20,-0.21207177814029962,-0.21207177814029962,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,186.09
2023-04-21,-0.29282218597063436,-0.29282218597063436,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,184.25
2023-04-24,-0.3393148450244585,-0.3393148450244585,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,184.81
2023-04-25,-0.358482871125611,-0.358482871125611,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,185.75
2023-04-26,-0.30913539967373077,-0.30913539967373077,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,184.74
