feature_column,target_horizon_days,selection_rows,evaluation_rows,coefficient,intercept,selection_correlation,selection_directional_accuracy,evaluation_correlation,evaluation_directional_accuracy
fear_greed_candle_volume_score,80,151,149,0.011436615360882663,0.09880130920529936,0.030589605133508942,1.0,0.17605636054863172,0.9731543624161074
ma_crossover_score,35,196,194,-0.04012021132985085,0.056199980116349454,0.3039746914923406,0.7397959183673469,0.17506417020428053,0.8969072164948454
adaptive_volatility_band_score,93,138,136,0.014195137543944455,0.11762534141857861,0.25780788225637735,1.0,0.17468009613256122,1.0
fear_greed_candle_volume_score,79,152,150,0.002513982927105535,0.09751792052900593,0.006646942888118818,0.993421052631579,0.1744036525617284,0.9666666666666667
fear_greed_candle_volume_score,89,142,140,0.027559218923750652,0.11024617544993918,0.08153432605598321,1.0,0.17350576171566862,0.9928571428571429
adaptive_volatility_band_score,102,129,127,0.01935781278544729,0.13116938516678622,0.3575164652969378,1.0,0.17305209111017564,1.0
ma_crossover_score,33,198,196,-0.03888012513340141,0.05333857932999041,0.3080427893073993,0.7272727272727273,0.1717252080107636,0.8979591836734694
adaptive_volatility_band_score,90,141,139,0.01583188856522832,0.11351027797984009,0.28187256448416215,1.0,0.17082607094476462,0.9928057553956835
ma_crossover_score,47,184,182,-0.04060034295118925,0.071573935308966,0.30441981878172925,0.8315217391304348,0.1706304128421612,0.9010989010989011
fear_greed_candle_volume_score,1,230,228,0.01072224329324493,0.001185677364798722,0.10267546482536269,0.5739130434782609,0.1699888023842651,0.6052631578947368
ma_crossover_score,59,172,170,-0.05493878919330557,0.08909641288035425,0.43356914470776775,0.9244186046511628,0.1690031184242367,0.9647058823529412
ma_crossover_score,43,188,186,-0.03439595956054419,0.06485959123189591,0.2481724877639609,0.776595744680851,0.16847773022358142,0.8870967741935484
ma_crossover_score,36,195,193,-0.039452362116183096,0.05736213734587785,0.2952656526379429,0.7333333333333333,0.16703424208072656,0.8860103626943006
adaptive_volatility_band_score,110,121,119,0.01771126763685107,0.14102017258465505,0.37153681983169,1.0,0.1665119592749205,1.0
fear_greed_candle_volume_score,90,141,139,0.017206731817842772,0.11154947997012504,0.05181321265904874,1.0,0.1658091536847133,0.9928057553956835
ma_crossover_score,48,183,181,-0.04281777300207648,0.07344302778093338,0.3243812710711007,0.8360655737704918,0.16139528547713194,0.8784530386740331
adaptive_volatility_band_score,95,136,134,0.014638377278534247,0.12061708612552789,0.2653189869289645,1.0,0.16058890238094686,1.0
ma_crossover_score,58,173,171,-0.05552924804237736,0.08825133682880125,0.4381697234299763,0.9017341040462428,0.16050732509260598,0.9590643274853801
ma_crossover_score,32,199,197,-0.03639250100337761,0.05130704894814544,0.29738197865594546,0.7286432160804021,0.159743549695645,0.8934010152284264
adaptive_volatility_band_score,104,127,125,0.018668872691390337,0.13363299206557366,0.3494394131453435,1.0,0.15871317374687474,1.0
ma_crossover_score,42,189,187,-0.03441389968371268,0.06359524313084328,0.24681260894517856,0.798941798941799,0.15721293038642567,0.8877005347593583
ma_crossover_score,57,174,172,-0.0559881508079269,0.08736119682773794,0.4432035627457231,0.8850574712643678,0.155880187849967,0.9418604651162791
ma_crossover_score,49,182,180,-0.045319713331736726,0.07536444666113569,0.34921417635856916,0.8571428571428571,0.15440628845066426,0.9
ma_crossover_score,37,194,192,-0.03877759226482423,0.05852346264273713,0.28739042906186885,0.7731958762886598,0.15308411435354272,0.8854166666666666
ma_crossover_score,56,175,173,-0.056446032742304086,0.08643123799160822,0.4501884245600929,0.8685714285714285,0.15265105778866173,0.930635838150289
fear_greed_candle_volume_score,73,158,156,0.0017611955432777604,0.09115933859724273,0.00424903074774,1.0,0.15105758237551986,0.9615384615384616
ma_crossover_score,55,176,174,-0.05685657971585111,0.08545781771465924,0.4527489444445734,0.875,0.15040312524187066,0.9252873563218391
ma_crossover_score,50,181,179,-0.048531981907532,0.07757102950370592,0.377106742106954,0.856353591160221,0.14928751975694463,0.9273743016759777
ma_crossover_score,54,177,175,-0.0571705157116907,0.08461420407257378,0.45353312806340335,0.8757062146892656,0.14903464013805426,0.9257142857142857
ma_crossover_score,53,178,176,-0.05634609766175895,0.08334134088037035,0.4453488713135614,0.8707865168539326,0.1478597246417397,0.9318181818181818
ma_crossover_score,31,200,198,-0.03296761254090636,0.04900009484658324,0.2795505910078811,0.755,0.14778790492106594,0.8888888888888888
fear_greed_candle_volume_score,72,159,157,0.005493624694110534,0.0901943249412447,0.01308327246066574,0.9874213836477987,0.1473304935670645,0.9681528662420382
adaptive_volatility_band_score,111,120,118,0.017754997747220093,0.14202116534527157,0.3788745060109202,1.0,0.14694532602761232,1.0
fear_greed_candle_volume_score,75,156,154,0.0005358907311781949,0.09330995309452259,0.0013192434619305714,0.9935897435897436,0.14683502464166484,0.974025974025974
adaptive_band_score,120,111,109,-0.0018019048893288918,0.15075760578295924,0.022370305203197896,1.0,0.14669509083366294,1.0
fear_greed_candle_volume_score,103,128,126,0.04419905958492997,0.1303413872084147,0.1430422413375652,1.0,0.145892528107743,1.0
ma_crossover_score,51,180,178,-0.05162611536226638,0.07967649321303084,0.4037264102885971,0.8666666666666667,0.1457673898089496,0.9438202247191011
adaptive_band_score,117,114,112,-0.00285324756046085,0.14514106946349503,0.03758169950060625,1.0,0.14563225203493416,1.0
fear_greed_candle_volume_score,93,138,136,0.03964750875033135,0.11628558432192308,0.12226843446674347,1.0,0.14559786754770976,1.0
ma_crossover_score,52,179,177,-0.05445046670376786,0.08165232547453616,0.42847104533828945,0.8547486033519553,0.14551095372749695,0.943502824858757
ma_crossover_score,41,190,188,-0.03509515921673317,0.06258798552285347,0.2520454174470911,0.8157894736842105,0.14443571223439564,0.898936170212766
fear_greed_candle_volume_score,74,157,155,0.0006991735474510734,0.09226797479610016,0.0016962218944053785,0.9936305732484076,0.14442411093741178,0.9806451612903225
