year,hold_days,update_label,block_days,negative_bh_blocks,positive_bh_blocks,avg_exposure_when_bh_negative,avg_exposure_when_bh_positive,exposure_gap_positive_minus_negative,avg_strategy_return_when_bh_negative,avg_strategy_return_when_bh_positive,strategy_return_gap_positive_minus_negative,corr_block_bh_vs_exposure,buy_hold_return,strategy_return,average_exposure,hundred_pct_equivalent_return,beats_buy_hold,beats_buy_hold_efficiency_proxy
2022,130,3M,130,1,1,0.19898978347364704,0.6658715738057697,0.4668817903321226,-0.03192269794372615,0.03847881758804261,0.07040151553176877,1.0,0.0077823323234123,0.0034930529071575123,0.42406028797638334,0.008237161097603288,False,True
2022,130,6M,45,3,3,0.2966989875764681,0.47847031499841863,0.1817713274219505,-0.016402101909432587,0.024595159997211107,0.0409972619066437,0.0033348563170260558,0.0077823323234123,0.02538173733585447,0.36346160260228066,0.06983333907661365,True,True
2022,130,6M,130,1,1,0.15376726283947087,0.5887530420168696,0.4349857791773988,-0.02094534189416597,0.04858638490703848,0.06953172680120445,1.0,0.0077823323234123,0.02538173733585447,0.36346160260228066,0.06983333907661365,True,True
2023,45,1M,45,3,3,0.4688112713637504,0.256036232436831,-0.2127750389269194,-0.016108228629967487,0.024333269328558282,0.040441497958525766,-0.39493310603117165,0.11756108967613699,0.021618596621216124,0.3921086307006799,0.055134202434118054,False,False
2023,45,1M,130,0,2,,0.39252227133254614,,,0.005593470125534572,,1.0,0.11756108967613699,0.021618596621216124,0.3921086307006799,0.055134202434118054,False,False
2023,45,2M,45,3,3,0.431673748446923,0.1148492044529885,-0.3168245439939345,-0.0066168883565429866,0.0034100575912712947,0.01002694594781428,-0.453145988996853,0.11756108967613699,-0.014221331554740257,0.297216650390338,-0.0478483676337218,False,False
2023,45,2M,130,0,2,,0.3020755345675309,,,-0.01254287600690579,,1.0,0.11756108967613699,-0.014221331554740257,0.297216650390338,-0.0478483676337218,False,False
2023,45,3M,45,3,3,0.24710224666349692,0.26602534824729607,0.018923101583799146,-0.0022071839631332044,0.0070972705674577545,0.009304454530590959,-0.2231773652671487,0.11756108967613699,0.009966025612452523,0.25944220065174434,0.03841327890149284,False,False
2023,45,3M,130,0,2,,0.26680396932335904,,,0.003441904287585562,,1.0,0.11756108967613699,0.009966025612452523,0.25944220065174434,0.03841327890149284,False,False
2023,45,6M,45,3,3,0.19612384593438104,0.36768009576443766,0.17155624983005663,-0.00010932245864088881,0.01400650592705377,0.014115828385694659,-0.09293927792936031,0.11756108967613699,0.039617190551416215,0.27261817580441056,0.1453211636917397,False,True
2023,45,6M,130,0,2,,0.28342175652301504,,,0.01880751241510703,,1.0,0.11756108967613699,0.039617190551416215,0.27261817580441056,0.1453211636917397,False,True
2023,130,1M,45,3,3,0.2365626654111758,0.36245472484268876,0.12589205943151296,-0.0101695313857492,0.022324752881015097,0.032494284266764296,0.0034194607393995984,0.11756108967613699,0.03014636189239117,0.2773776150337206,0.10868347068571593,False,False
2023,130,1M,130,0,2,,0.28752212448480857,,,0.012794227681390158,,1.0,0.11756108967613699,0.03014636189239117,0.2773776150337206,0.10868347068571593,False,False
2023,130,2M,45,3,3,0.14258117026058637,0.22120599151894146,0.0786248212583551,-0.0026076092808245965,0.008576500177858456,0.011184109458683053,-0.04974566072819975,0.11756108967613699,0.015198909041781228,0.1715710554072489,0.08858667335060919,False,False
2023,130,2M,130,0,2,,0.17785427416405414,,,0.006563392655729028,,1.0,0.11756108967613699,0.015198909041781228,0.1715710554072489,0.08858667335060919,False,False
2023,130,3M,45,3,3,0.1447169276251027,0.3661035600944511,0.22138663246934842,-0.0002609534656188295,0.01257397428338695,0.012834927749005779,-0.017368756292075526,0.11756108967613699,0.03650849034760184,0.2304410508673029,0.1584287617600949,False,True
2023,130,3M,130,0,2,,0.2390063019142547,,,0.01701947896366446,,1.0,0.11756108967613699,0.03650849034760184,0.2304410508673029,0.1584287617600949,False,True
2023,130,6M,45,3,3,0.07329351499450394,0.3673099778329072,0.29401646283840327,0.00019059231314411118,0.013622816670265289,0.013432224357121178,0.10656740520522408,0.11756108967613699,0.04248816268241695,0.18791184010322184,0.22610689490921798,False,True
2023,130,6M,130,0,2,,0.19569194436069345,,,0.020931257069208176,,1.0,0.11756108967613699,0.04248816268241695,0.18791184010322184,0.22610689490921798,False,True
2024,45,1M,45,1,5,0.46779197072299855,0.30669417820586975,-0.1610977925171288,-0.008046584047014638,0.019332457312750684,0.02737904135976532,-0.3801575048932615,0.269557466442953,0.10007461054248412,0.3239546559755621,0.3089154876972454,False,True
2024,45,1M,130,0,2,,0.3278232216459212,,,0.04764153257333026,,-1.0,0.269557466442953,0.10007461054248412,0.3239546559755621,0.3089154876972454,False,True
2024,45,2M,45,1,5,0.4415147392042024,0.3067692057109479,-0.13474553349325452,-0.006518844624534004,0.01779432101975429,0.024313165644288294,-0.37920958232102153,0.269557466442953,0.09303317408982026,0.32120622715665376,0.2896368943820244,False,True
2024,45,2M,130,0,2,,0.3254305724546717,,,0.04432612354926002,,-1.0,0.269557466442953,0.09303317408982026,0.32120622715665376,0.2896368943820244,False,True
2024,45,3M,45,1,5,0.3224185485275974,0.24051292921437314,-0.08190561931322424,-0.005520432660439223,0.013837531991169438,0.01935796465160866,-0.4253345555435618,0.269557466442953,0.06896451572444562,0.24928853128364717,0.2766453609772202,False,True
2024,45,3M,130,0,2,,0.25416138606980315,,,0.032945450531456366,,-1.0,0.269557466442953,0.06896451572444562,0.24928853128364717,0.2766453609772202,False,True
2024,45,6M,45,1,5,0.47182064701749754,0.1457916719724987,-0.32602897504499884,-0.0075551336379633405,0.00774856293835553,0.01530369657631887,-0.7990384018421224,0.269557466442953,0.038222544065441566,0.18072334787017713,0.21149754315584493,False,False
2024,45,6M,130,0,2,,0.18611054624830894,,,0.018741897625390025,,-1.0,0.269557466442953,0.038222544065441566,0.18072334787017713,0.21149754315584493,False,False
2024,130,1M,45,1,5,0.7576509510291665,0.34858767592625606,-0.4090632751029104,-0.01381159066732629,0.01403565952078134,0.02784725018810763,-0.7907460608172056,0.269557466442953,0.07403863978247394,0.3924158839729965,0.18867391154729302,False,False
2024,130,1M,130,0,2,,0.39918318031353683,,,0.035669860579765955,,-1.0,0.269557466442953,0.07403863978247394,0.3924158839729965,0.18867391154729302,False,False
2024,130,2M,45,1,5,0.6732367172005903,0.2204350292557667,-0.4528016879448236,-0.012558475259229374,0.008823011471851406,0.021381486731080777,-0.8638077040241642,0.269557466442953,0.04326118296449133,0.26894949582128347,0.1608524412079148,False,False
2024,130,2M,130,0,2,,0.2748630316067918,,,0.020979549247858165,,-1.0,0.269557466442953,0.04326118296449133,0.26894949582128347,0.1608524412079148,False,False
2024,130,3M,45,1,5,0.7846215040216816,0.43133031606734074,-0.3532911879543409,-0.01448144603732171,0.017301939944482436,0.03178338598180415,-0.7231520417570769,0.269557466442953,0.0932767453716361,0.46918294334816296,0.19880676971332045,False,False
2024,130,3M,130,0,2,,0.4774029658810917,,,0.04476868101053599,,-1.0,0.269557466442953,0.0932767453716361,0.46918294334816296,0.19880676971332045,False,False
2024,130,6M,45,1,5,0.5973164770876184,0.23271273027070202,-0.3646037468169163,-0.010588886941656495,0.01018150626216401,0.020770393203820504,-0.8451297688551956,0.269557466442953,0.05255982158852657,0.27177741742965733,0.19339289513312982,False,False
2024,130,6M,130,0,2,,0.2771479792875092,,,0.02548104019116182,,-1.0,0.269557466442953,0.05255982158852657,0.27177741742965733,0.19339289513312982,False,False
